,Unnamed: 0,Country,Population
0,0,China,1440297825
1,1,India,1382345085
2,2,USA,331341050
3,3,Indonesia,274021604
4,4,Pakistan,221612785
5,5,Brazil,212821986
6,6,Nigeria,206984347
7,7,Bangladesh,164972348
8,8,Russia,145945524
9,9,Mexico,129166028
10,10,Japan,126407422
11,11,Ethiopia,115434444
12,12,Philippines,109830324
13,13,Egypt,102659126
14,14,Vietnam,97490013
15,15,DR Congo,90003954
16,16,Turkey,84495243
17,17,Iran,84176929
18,18,Germany,83830972
19,19,Thailand,69830779
20,20,UK,67948282
21,21,France,65298930
22,22,Italy,60446035
23,23,Tanzania,60012400
24,24,South Africa,59436725
25,25,Myanmar,54473253
26,26,Kenya,53968739
27,27,South Korea,51276977
28,28,Colombia,50976248
29,29,Spain,46757980
30,30,Uganda,45974931
31,31,Argentina,45267449
32,32,Algeria,43984569
33,33,Sudan,44019263
34,34,Ukraine,43686577
35,35,Iraq,40372771
36,36,Afghanistan,39074280
37,37,Poland,37839255
38,38,Canada,37799407
39,39,Morocco,36985624
40,40,Saudi Arabia,34905942
41,41,Uzbekistan,33551824
42,42,Peru,33050211
43,43,Angola,33032075
44,44,Malaysia,32436963
45,45,Mozambique,31398811
46,46,Ghana,31181428
47,47,Yemen,29935468
48,48,Nepal,29225196
49,49,Venezuela,28421581
50,50,Madagascar,27808395
51,51,Cameroon,26655083
52,52,Côte d'Ivoire,26486282
53,53,North Korea,25798588
54,54,Australia,25550683
55,55,Niger,24346468
56,56,Taiwan,23824369
57,57,Sri Lanka,21428970
58,58,Burkina Faso,20997293
59,59,Mali,20346106
60,60,Romania,19214608
61,61,Malawi,19211425
62,62,Chile,19144605
63,63,Kazakhstan,18815231
64,64,Zambia,18468257
65,65,Guatemala,17971382
66,66,Ecuador,17688599
67,67,Syria,17571053
68,68,Netherlands,17141544
69,69,Senegal,16816539
70,70,Cambodia,16758448
71,71,Chad,16502877
72,72,Somalia,15965848
73,73,Zimbabwe,14899771
74,74,Guinea,13191279
75,75,Rwanda,13005303
76,76,Benin,12175480
77,77,Burundi,11948454
78,78,Tunisia,11839918
79,79,Bolivia,11700207
80,80,Belgium,11598451
81,81,Haiti,11426356
82,82,Cuba,11325391
83,83,South Sudan,11216250
84,84,Dominican Republic,10866667
85,85,Czech Republic (Czechia),10712481
86,86,Greece,10413936
87,87,Jordan,10220604
88,88,Portugal,10191409
89,89,Azerbaijan,10154978
90,90,Sweden,10110233
91,91,Honduras,9931333
92,92,United Arab Emirates,9910892
93,93,Hungary,9655983
94,94,Tajikistan,9573310
95,95,Belarus,9448772
96,96,Austria,9015361
97,97,Papua New Guinea,8975531
98,98,Serbia,8731081
99,99,Israel,8678517
100,100,Switzerland,8665615
101,101,Togo,8310934
102,102,Sierra Leone,8004158
103,103,Hong Kong,7507523
104,104,Laos,7293542
105,105,Paraguay,7147553
106,106,Bulgaria,6939018
107,107,Libya,6887247
108,108,Lebanon,6819976
